# CHAOS-8.1 ionospheric field model
# Extracted on 2024-10-21 10:26:57.470206
#
# NOTE: The format of this file is identical to the AMPS model
# coefficient file, which includes both toroidal and poloidal fields.
# Since the toroidal part is not co-estimated in CHAOS-8, the
# corresponding coefficients are set to zero.
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
#
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
33 3 0.0000000 0.0000000  0.0086076  0.0127806 0.0000000 0.0000000  0.0280289 -0.0082612 0.0000000 0.0000000 -0.0087991 -0.0242609 0.0000000 0.0000000  0.0009772  0.0021640 0.0000000 0.0000000 -0.0051691  0.0033360 0.0000000 0.0000000  0.0089892  0.0106305 0.0000000 0.0000000 -0.0006953 -0.0027913 0.0000000 0.0000000  0.0006645 -0.0003131 0.0000000 0.0000000 -0.0005534  0.0005091 0.0000000 0.0000000 -0.0006354 -0.0001253 0.0000000 0.0000000 -0.0003090 -0.0001866 0.0000000 0.0000000 -0.0004105 -0.0005480 0.0000000 0.0000000 -0.0046700 -0.0082456 0.0000000 0.0000000 -0.0040820  0.0049892 0.0000000 0.0000000  0.0037854  0.0114930 0.0000000 0.0000000 -0.0001050  0.0004115 0.0000000 0.0000000 -0.0001351  0.0000806 0.0000000 0.0000000  0.0002007  0.0003546 0.0000000 0.0000000 -0.0000123  0.0000031
34 0 0.0000000       NaN -0.0505932        NaN 0.0000000       NaN -0.0025492        NaN 0.0000000       NaN  0.0086399        NaN 0.0000000       NaN  0.0127857        NaN 0.0000000       NaN -0.0292695        NaN 0.0000000       NaN -0.0015129        NaN 0.0000000       NaN  0.0006880        NaN 0.0000000       NaN -0.0004155        NaN 0.0000000       NaN  0.0005380        NaN 0.0000000       NaN -0.0001607        NaN 0.0000000       NaN  0.0000064        NaN 0.0000000       NaN  0.0001272        NaN 0.0000000       NaN -0.0016492        NaN 0.0000000       NaN -0.0253558        NaN 0.0000000       NaN  0.0028925        NaN 0.0000000       NaN  0.0003467        NaN 0.0000000       NaN  0.0000665        NaN 0.0000000       NaN -0.0003372        NaN 0.0000000       NaN  0.0002491        NaN
34 1 0.0000000 0.0000000 -0.0508971  0.0839261 0.0000000 0.0000000 -0.0082069 -0.0074038 0.0000000 0.0000000  0.0165804  0.0086192 0.0000000 0.0000000  0.0019902 -0.0402236 0.0000000 0.0000000  0.0012735  0.0002745 0.0000000 0.0000000 -0.0038791 -0.0053507 0.0000000 0.0000000  0.0009393  0.0007926 0.0000000 0.0000000 -0.0017090  0.0008769 0.0000000 0.0000000 -0.0006294  0.0001344 0.0000000 0.0000000 -0.0001221 -0.0000161 0.0000000 0.0000000  0.0004335 -0.0002711 0.0000000 0.0000000 -0.0000720 -0.0002361 0.0000000 0.0000000  0.0060095 -0.0116455 0.0000000 0.0000000 -0.0013937  0.0000660 0.0000000 0.0000000 -0.0094242 -0.0137757 0.0000000 0.0000000  0.0002056 -0.0002944 0.0000000 0.0000000 -0.0004809 -0.0001915 0.0000000 0.0000000 -0.0001052  0.0001860 0.0000000 0.0000000 -0.0010499 -0.0003092
34 2 0.0000000 0.0000000  0.0086072  0.0071620 0.0000000 0.0000000 -0.0271600 -0.0213462 0.0000000 0.0000000 -0.0031757 -0.0140109 0.0000000 0.0000000 -0.0015906 -0.0064313 0.0000000 0.0000000  0.0264190  0.0007393 0.0000000 0.0000000  0.0056679  0.0038152 0.0000000 0.0000000 -0.0006237 -0.0058296 0.0000000 0.0000000  0.0006168 -0.0004312 0.0000000 0.0000000  0.0003063  0.0007197 0.0000000 0.0000000  0.0000015  0.0000454 0.0000000 0.0000000 -0.0000998  0.0000134 0.0000000 0.0000000 -0.0001283  0.0002285 0.0000000 0.0000000 -0.0026503  0.0040361 0.0000000 0.0000000  0.0181283  0.0053631 0.0000000 0.0000000  0.0023605 -0.0050516 0.0000000 0.0000000  0.0000153  0.0000672 0.0000000 0.0000000 -0.0000576  0.0000677 0.0000000 0.0000000 -0.0001384 -0.0003766 0.0000000 0.0000000 -0.0000588 -0.0001273
34 3 0.0000000 0.0000000 -0.0391293 -0.1589607 0.0000000 0.0000000  0.0034249 -0.0086450 0.0000000 0.0000000  0.0119999  0.0280402 0.0000000 0.0000000  0.0044811  0.0083103 0.0000000 0.0000000  0.0005813  0.0018178 0.0000000 0.0000000 -0.0136436 -0.0090342 0.0000000 0.0000000 -0.0005452  0.0004528 0.0000000 0.0000000  0.0008411 -0.0010402 0.0000000 0.0000000  0.0012397 -0.0005686 0.0000000 0.0000000  0.0000412 -0.0000669 0.0000000 0.0000000 -0.0002171  0.0003978 0.0000000 0.0000000  0.0001047 -0.0000285 0.0000000 0.0000000 -0.0005612  0.0087629 0.0000000 0.0000000 -0.0023679  0.0010696 0.0000000 0.0000000  0.0051723  0.0128381 0.0000000 0.0000000 -0.0000325 -0.0000951 0.0000000 0.0000000  0.0000288  0.0003737 0.0000000 0.0000000 -0.0000924  0.0003049 0.0000000 0.0000000  0.0003783  0.0003326
35 0 0.0000000       NaN -0.0202576        NaN 0.0000000       NaN -0.0017819        NaN 0.0000000       NaN  0.0007876        NaN 0.0000000       NaN -0.0088690        NaN 0.0000000       NaN -0.0021345        NaN 0.0000000       NaN  0.0030054        NaN 0.0000000       NaN -0.0000527        NaN 0.0000000       NaN -0.0001730        NaN 0.0000000       NaN  0.0003669        NaN 0.0000000       NaN  0.0003642        NaN 0.0000000       NaN -0.0013406        NaN 0.0000000       NaN -0.0004353        NaN 0.0000000       NaN  0.0088161        NaN 0.0000000       NaN -0.0006036        NaN 0.0000000       NaN -0.0115099        NaN 0.0000000       NaN -0.0000416        NaN 0.0000000       NaN -0.0013427        NaN 0.0000000       NaN  0.0001727        NaN 0.0000000       NaN -0.0006712        NaN
35 1 0.0000000 0.0000000  0.0217835  0.0086339 0.0000000 0.0000000 -0.0456369  0.0075336 0.0000000 0.0000000 -0.0326061  0.0017262 0.0000000 0.0000000 -0.0062675 -0.0050201 0.0000000 0.0000000  0.0308149 -0.0015353 0.0000000 0.0000000  0.0087937 -0.0023089 0.0000000 0.0000000  0.0010938  0.0007675 0.0000000 0.0000000 -0.0007046 -0.0003251 0.0000000 0.0000000  0.0004318  0.0011370 0.0000000 0.0000000  0.0004429 -0.0006722 0.0000000 0.0000000  0.0002203  0.0002031 0.0000000 0.0000000  0.0002035 -0.0002434 0.0000000 0.0000000  0.0035989 -0.0017945 0.0000000 0.0000000  0.0065538 -0.0037041 0.0000000 0.0000000 -0.0009793 -0.0000247 0.0000000 0.0000000 -0.0001787 -0.0002930 0.0000000 0.0000000 -0.0000327  0.0000038 0.0000000 0.0000000  0.0002336 -0.0005512 0.0000000 0.0000000 -0.0001773 -0.0001228
35 2 0.0000000 0.0000000 -0.0460951 -0.2923059 0.0000000 0.0000000  0.0087984 -0.0197472 0.0000000 0.0000000  0.0285342  0.0483767 0.0000000 0.0000000  0.0051976  0.0083978 0.0000000 0.0000000 -0.0015010  0.0030497 0.0000000 0.0000000 -0.0035272  0.0016250 0.0000000 0.0000000  0.0001607 -0.0012792 0.0000000 0.0000000 -0.0011354 -0.0006940 0.0000000 0.0000000 -0.0000316  0.0017542 0.0000000 0.0000000 -0.0002662  0.0000460 0.0000000 0.0000000  0.0014158 -0.0000859 0.0000000 0.0000000 -0.0001775 -0.0003487 0.0000000 0.0000000  0.0015114  0.0086235 0.0000000 0.0000000  0.0002204  0.0038726 0.0000000 0.0000000 -0.0026420 -0.0024918 0.0000000 0.0000000 -0.0000861  0.0003546 0.0000000 0.0000000  0.0010552 -0.0000563 0.0000000 0.0000000  0.0000216 -0.0005841 0.0000000 0.0000000  0.0008045  0.0007087
35 3 0.0000000 0.0000000  0.0092113  0.0017254 0.0000000 0.0000000  0.0220261 -0.0119157 0.0000000 0.0000000 -0.0031227  0.0054885 0.0000000 0.0000000 -0.0003866  0.0067549 0.0000000 0.0000000 -0.0068042  0.0047704 0.0000000 0.0000000  0.0032071 -0.0044952 0.0000000 0.0000000 -0.0011393 -0.0025114 0.0000000 0.0000000  0.0008180 -0.0000655 0.0000000 0.0000000  0.0000254  0.0000156 0.0000000 0.0000000 -0.0003440  0.0002404 0.0000000 0.0000000 -0.0003826 -0.0000852 0.0000000 0.0000000 -0.0004971 -0.0002432 0.0000000 0.0000000 -0.0045452 -0.0058322 0.0000000 0.0000000 -0.0054574  0.0049584 0.0000000 0.0000000  0.0032502  0.0074147 0.0000000 0.0000000  0.0000833  0.0003727 0.0000000 0.0000000 -0.0001861  0.0000167 0.0000000 0.0000000  0.0000588  0.0004661 0.0000000 0.0000000  0.0000266 -0.0000040
36 0 0.0000000       NaN  0.0027101        NaN 0.0000000       NaN -0.0154062        NaN 0.0000000       NaN -0.0059171        NaN 0.0000000       NaN  0.0109231        NaN 0.0000000       NaN -0.0161106        NaN 0.0000000       NaN  0.0045825        NaN 0.0000000       NaN -0.0004424        NaN 0.0000000       NaN -0.0005904        NaN 0.0000000       NaN  0.0012028        NaN 0.0000000       NaN -0.0000219        NaN 0.0000000       NaN  0.0000092        NaN 0.0000000       NaN -0.0003035        NaN 0.0000000       NaN -0.0028789        NaN 0.0000000       NaN -0.0243446        NaN 0.0000000       NaN  0.0058986        NaN 0.0000000       NaN  0.0002507        NaN 0.0000000       NaN  0.0000597        NaN 0.0000000       NaN -0.0003025        NaN 0.0000000       NaN -0.0000291        NaN
36 1 0.0000000 0.0000000  0.0381743 -0.0178608 0.0000000 0.0000000  0.0041279 -0.0085086 0.0000000 0.0000000  0.0192211  0.0126204 0.0000000 0.0000000  0.0011081 -0.0315670 0.0000000 0.0000000  0.0019592  0.0055412 0.0000000 0.0000000 -0.0086596 -0.0025131 0.0000000 0.0000000 -0.0002625 -0.0004492 0.0000000 0.0000000 -0.0021467  0.0000637 0.0000000 0.0000000 -0.0003082  0.0010370 0.0000000 0.0000000 -0.0001072 -0.0000450 0.0000000 0.0000000  0.0011347 -0.0001430 0.0000000 0.0000000  0.0000753 -0.0005039 0.0000000 0.0000000  0.0019606 -0.0073906 0.0000000 0.0000000 -0.0033119 -0.0004851 0.0000000 0.0000000 -0.0071832 -0.0155338 0.0000000 0.0000000  0.0000995  0.0001602 0.0000000 0.0000000 -0.0000599 -0.0000851 0.0000000 0.0000000 -0.0001094 -0.0002639 0.0000000 0.0000000  0.0008772  0.0002130
36 2 0.0000000 0.0000000  0.0117938 -0.0133738 0.0000000 0.0000000 -0.0213430 -0.0301524 0.0000000 0.0000000  0.0035800  0.0109654 0.0000000 0.0000000 -0.0003910  0.0004063 0.0000000 0.0000000  0.0224580  0.0031757 0.0000000 0.0000000 -0.0011367 -0.0087264 0.0000000 0.0000000 -0.0000682 -0.0058349 0.0000000 0.0000000  0.0002776  0.0000639 0.0000000 0.0000000 -0.0001161  0.0006367 0.0000000 0.0000000 -0.0002335  0.0004539 0.0000000 0.0000000 -0.0001076 -0.0001098 0.0000000 0.0000000  0.0001475  0.0003696 0.0000000 0.0000000 -0.0034935  0.0041671 0.0000000 0.0000000  0.0173207  0.0064955 0.0000000 0.0000000  0.0021482 -0.0062583 0.0000000 0.0000000  0.0002390  0.0003879 0.0000000 0.0000000  0.0000757 -0.0000299 0.0000000 0.0000000 -0.0003213 -0.0003617 0.0000000 0.0000000  0.0000437  0.0000501
36 3 0.0000000 0.0000000 -0.0782765 -0.1118868 0.0000000 0.0000000  0.0057786  0.0020387 0.0000000 0.0000000  0.0211413  0.0351722 0.0000000 0.0000000  0.0228070  0.0313185 0.0000000 0.0000000 -0.0035670  0.0000082 0.0000000 0.0000000 -0.0059591 -0.0023828 0.0000000 0.0000000  0.0006965 -0.0004025 0.0000000 0.0000000  0.0010279 -0.0005623 0.0000000 0.0000000 -0.0001069  0.0004268 0.0000000 0.0000000  0.0001703  0.0000886 0.0000000 0.0000000 -0.0005595  0.0001719 0.0000000 0.0000000  0.0005437 -0.0004020 0.0000000 0.0000000 -0.0019102  0.0027575 0.0000000 0.0000000 -0.0014086 -0.0008507 0.0000000 0.0000000  0.0074283  0.0181266 0.0000000 0.0000000 -0.0002667 -0.0001305 0.0000000 0.0000000 -0.0001149  0.0003549 0.0000000 0.0000000  0.0002367  0.0002241 0.0000000 0.0000000  0.0000129  0.0003297
37 0 0.0000000       NaN -0.0250506        NaN 0.0000000       NaN  0.0028047        NaN 0.0000000       NaN  0.0193798        NaN 0.0000000       NaN -0.0014267        NaN 0.0000000       NaN -0.0029468        NaN 0.0000000       NaN -0.0031248        NaN 0.0000000       NaN -0.0006445        NaN 0.0000000       NaN -0.0011414        NaN 0.0000000       NaN -0.0000844        NaN 0.0000000       NaN  0.0004908        NaN 0.0000000       NaN -0.0006280        NaN 0.0000000       NaN  0.0001697        NaN 0.0000000       NaN  0.0107239        NaN 0.0000000       NaN -0.0018331        NaN 0.0000000       NaN -0.0105809        NaN 0.0000000       NaN -0.0003134        NaN 0.0000000       NaN -0.0012459        NaN 0.0000000       NaN  0.0004407        NaN 0.0000000       NaN  0.0008501        NaN
37 1 0.0000000 0.0000000  0.0205537 -0.0057021 0.0000000 0.0000000 -0.0365789 -0.0012379 0.0000000 0.0000000 -0.0169475  0.0189736 0.0000000 0.0000000 -0.0031976  0.0004104 0.0000000 0.0000000  0.0313314 -0.0025886 0.0000000 0.0000000  0.0059309 -0.0048045 0.0000000 0.0000000  0.0022601 -0.0006701 0.0000000 0.0000000 -0.0004011  0.0001636 0.0000000 0.0000000 -0.0013362  0.0013340 0.0000000 0.0000000 -0.0003853 -0.0005282 0.0000000 0.0000000  0.0001677 -0.0000508 0.0000000 0.0000000  0.0006128  0.0000295 0.0000000 0.0000000  0.0031999 -0.0026950 0.0000000 0.0000000  0.0128242 -0.0014613 0.0000000 0.0000000 -0.0020079 -0.0002951 0.0000000 0.0000000  0.0001122 -0.0000711 0.0000000 0.0000000 -0.0000868 -0.0000946 0.0000000 0.0000000 -0.0000758 -0.0007104 0.0000000 0.0000000 -0.0000222  0.0000441
37 2 0.0000000 0.0000000 -0.0950043 -0.2432646 0.0000000 0.0000000  0.0041837 -0.0014486 0.0000000 0.0000000  0.0111579  0.0429104 0.0000000 0.0000000  0.0158193  0.0458428 0.0000000 0.0000000 -0.0038070 -0.0016811 0.0000000 0.0000000  0.0067078  0.0155686 0.0000000 0.0000000  0.0013804 -0.0008759 0.0000000 0.0000000  0.0002807 -0.0001286 0.0000000 0.0000000 -0.0004431  0.0013551 0.0000000 0.0000000 -0.0000030  0.0003249 0.0000000 0.0000000  0.0008885 -0.0003149 0.0000000 0.0000000 -0.0000251  0.0000315 0.0000000 0.0000000  0.0014034  0.0073777 0.0000000 0.0000000  0.0024755  0.0022109 0.0000000 0.0000000  0.0026025  0.0098072 0.0000000 0.0000000 -0.0003388 -0.0002022 0.0000000 0.0000000  0.0008641 -0.0001415 0.0000000 0.0000000  0.0004044 -0.0000663 0.0000000 0.0000000 -0.0003409  0.0006631
37 3 0.0000000 0.0000000  0.0075204  0.0115649 0.0000000 0.0000000  0.0146200 -0.0035466 0.0000000 0.0000000 -0.0126406 -0.0063093 0.0000000 0.0000000 -0.0017776 -0.0001353 0.0000000 0.0000000 -0.0071585  0.0062348 0.0000000 0.0000000  0.0092214  0.0004716 0.0000000 0.0000000 -0.0011276 -0.0021814 0.0000000 0.0000000  0.0004789 -0.0003092 0.0000000 0.0000000  0.0002751 -0.0002237 0.0000000 0.0000000 -0.0000314  0.0002792 0.0000000 0.0000000 -0.0002905  0.0002471 0.0000000 0.0000000 -0.0003915 -0.0004339 0.0000000 0.0000000 -0.0068867 -0.0028941 0.0000000 0.0000000 -0.0055524  0.0029976 0.0000000 0.0000000  0.0066229  0.0040440 0.0000000 0.0000000  0.0001287  0.0003274 0.0000000 0.0000000 -0.0001361  0.0000117 0.0000000 0.0000000 -0.0000278  0.0005497 0.0000000 0.0000000  0.0000410 -0.0000414
38 0 0.0000000       NaN  0.0073818        NaN 0.0000000       NaN -0.0300508        NaN 0.0000000       NaN  0.0139384        NaN 0.0000000       NaN  0.0107612        NaN 0.0000000       NaN -0.0044613        NaN 0.0000000       NaN  0.0000356        NaN 0.0000000       NaN -0.0001892        NaN 0.0000000       NaN -0.0005089        NaN 0.0000000       NaN  0.0001586        NaN 0.0000000       NaN -0.0001295        NaN 0.0000000       NaN -0.0000207        NaN 0.0000000       NaN  0.0001177        NaN 0.0000000       NaN -0.0000118        NaN 0.0000000       NaN -0.0186306        NaN 0.0000000       NaN  0.0005271        NaN 0.0000000       NaN  0.0002530        NaN 0.0000000       NaN -0.0000372        NaN 0.0000000       NaN -0.0001235        NaN 0.0000000       NaN  0.0000444        NaN
38 1 0.0000000 0.0000000 -0.0031230 -0.0152188 0.0000000 0.0000000 -0.0016081 -0.0055432 0.0000000 0.0000000 -0.0248874  0.0012634 0.0000000 0.0000000 -0.0104091 -0.0183795 0.0000000 0.0000000  0.0003786  0.0045955 0.0000000 0.0000000  0.0041620  0.0075204 0.0000000 0.0000000  0.0005000 -0.0001710 0.0000000 0.0000000 -0.0013479  0.0003341 0.0000000 0.0000000  0.0002344  0.0011357 0.0000000 0.0000000 -0.0001427 -0.0000252 0.0000000 0.0000000  0.0011143 -0.0001787 0.0000000 0.0000000 -0.0001681 -0.0003944 0.0000000 0.0000000  0.0025879 -0.0085230 0.0000000 0.0000000 -0.0019586 -0.0003757 0.0000000 0.0000000 -0.0058320 -0.0077078 0.0000000 0.0000000  0.0002456  0.0000005 0.0000000 0.0000000  0.0002881 -0.0002408 0.0000000 0.0000000 -0.0003130 -0.0001779 0.0000000 0.0000000 -0.0009718  0.0000275
38 2 0.0000000 0.0000000  0.0135645  0.0032679 0.0000000 0.0000000 -0.0061665 -0.0204983 0.0000000 0.0000000 -0.0132667 -0.0155484 0.0000000 0.0000000 -0.0038989 -0.0042959 0.0000000 0.0000000  0.0165901  0.0032262 0.0000000 0.0000000  0.0049386 -0.0000735 0.0000000 0.0000000 -0.0006926 -0.0056812 0.0000000 0.0000000 -0.0000197 -0.0004472 0.0000000 0.0000000  0.0005781  0.0005341 0.0000000 0.0000000 -0.0002341  0.0008845 0.0000000 0.0000000 -0.0000914  0.0001649 0.0000000 0.0000000 -0.0003104  0.0002603 0.0000000 0.0000000 -0.0026208  0.0033690 0.0000000 0.0000000  0.0150838  0.0050367 0.0000000 0.0000000  0.0025320 -0.0029236 0.0000000 0.0000000  0.0003472  0.0003262 0.0000000 0.0000000  0.0001419  0.0000227 0.0000000 0.0000000 -0.0004971  0.0000149 0.0000000 0.0000000 -0.0000885 -0.0000707
38 3 0.0000000 0.0000000 -0.0226688 -0.0973879 0.0000000 0.0000000  0.0027492  0.0059446 0.0000000 0.0000000  0.0318212  0.0300843 0.0000000 0.0000000  0.0228139  0.0406850 0.0000000 0.0000000  0.0000352  0.0003970 0.0000000 0.0000000 -0.0076971  0.0032121 0.0000000 0.0000000 -0.0000046 -0.0007419 0.0000000 0.0000000  0.0005724 -0.0001451 0.0000000 0.0000000 -0.0001244  0.0011368 0.0000000 0.0000000 -0.0002370  0.0002386 0.0000000 0.0000000 -0.0007149 -0.0000379 0.0000000 0.0000000  0.0003564 -0.0004357 0.0000000 0.0000000  0.0024914  0.0043202 0.0000000 0.0000000 -0.0020341 -0.0008067 0.0000000 0.0000000  0.0012120  0.0142399 0.0000000 0.0000000 -0.0000101 -0.0000107 0.0000000 0.0000000 -0.0002261  0.0002732 0.0000000 0.0000000 -0.0000895  0.0000270 0.0000000 0.0000000  0.0001103  0.0001667
39 0 0.0000000       NaN -0.0521853        NaN 0.0000000       NaN -0.0045230        NaN 0.0000000       NaN -0.0091350        NaN 0.0000000       NaN -0.0040566        NaN 0.0000000       NaN -0.0037493        NaN 0.0000000       NaN  0.0066291        NaN 0.0000000       NaN -0.0004437        NaN 0.0000000       NaN -0.0015053        NaN 0.0000000       NaN  0.0000807        NaN 0.0000000       NaN  0.0003021        NaN 0.0000000       NaN -0.0001062        NaN 0.0000000       NaN  0.0000644        NaN 0.0000000       NaN  0.0093118        NaN 0.0000000       NaN -0.0002966        NaN 0.0000000       NaN -0.0050760        NaN 0.0000000       NaN -0.0000635        NaN 0.0000000       NaN -0.0011119        NaN 0.0000000       NaN  0.0001701        NaN 0.0000000       NaN -0.0005127        NaN
39 1 0.0000000 0.0000000 -0.0045324  0.0029725 0.0000000 0.0000000 -0.0206898 -0.0094822 0.0000000 0.0000000 -0.0002250  0.0040916 0.0000000 0.0000000 -0.0038094  0.0022673 0.0000000 0.0000000  0.0300162  0.0003073 0.0000000 0.0000000  0.0015874  0.0026695 0.0000000 0.0000000  0.0012660 -0.0007637 0.0000000 0.0000000 -0.0002836 -0.0004678 0.0000000 0.0000000 -0.0008614  0.0003046 0.0000000 0.0000000 -0.0006149 -0.0004040 0.0000000 0.0000000  0.0001827  0.0001502 0.0000000 0.0000000  0.0002303  0.0002628 0.0000000 0.0000000  0.0044801 -0.0036375 0.0000000 0.0000000  0.0154150  0.0005603 0.0000000 0.0000000 -0.0049273  0.0018753 0.0000000 0.0000000  0.0000886 -0.0005371 0.0000000 0.0000000 -0.0000826  0.0000440 0.0000000 0.0000000 -0.0002571 -0.0000500 0.0000000 0.0000000 -0.0000618 -0.0001062
39 2 0.0000000 0.0000000 -0.0065056 -0.2288684 0.0000000 0.0000000  0.0172241  0.0066736 0.0000000 0.0000000  0.0213794  0.0337109 0.0000000 0.0000000  0.0186733  0.0591079 0.0000000 0.0000000 -0.0050982 -0.0029457 0.0000000 0.0000000 -0.0003278  0.0166365 0.0000000 0.0000000 -0.0002440 -0.0005606 0.0000000 0.0000000 -0.0000470 -0.0006870 0.0000000 0.0000000 -0.0002577  0.0003211 0.0000000 0.0000000 -0.0001650  0.0002275 0.0000000 0.0000000  0.0007674 -0.0001028 0.0000000 0.0000000 -0.0000961  0.0003366 0.0000000 0.0000000  0.0008515  0.0151484 0.0000000 0.0000000  0.0006472  0.0009345 0.0000000 0.0000000  0.0020676  0.0081779 0.0000000 0.0000000 -0.0001773 -0.0001420 0.0000000 0.0000000  0.0007635 -0.0000505 0.0000000 0.0000000  0.0002115  0.0000089 0.0000000 0.0000000  0.0003952  0.0005906
39 3 0.0000000 0.0000000 -0.0016093  0.0008946 0.0000000 0.0000000  0.0149337 -0.0068758 0.0000000 0.0000000  0.0020709  0.0160635 0.0000000 0.0000000 -0.0002653  0.0042851 0.0000000 0.0000000 -0.0100715  0.0032644 0.0000000 0.0000000 -0.0006546 -0.0071331 0.0000000 0.0000000 -0.0006529 -0.0010401 0.0000000 0.0000000  0.0003096 -0.0003609 0.0000000 0.0000000  0.0004530 -0.0003975 0.0000000 0.0000000  0.0001661  0.0005924 0.0000000 0.0000000 -0.0001841  0.0002622 0.0000000 0.0000000 -0.0003434  0.0000848 0.0000000 0.0000000 -0.0055038 -0.0011424 0.0000000 0.0000000 -0.0076406  0.0024434 0.0000000 0.0000000  0.0045254  0.0005898 0.0000000 0.0000000  0.0001868  0.0000948 0.0000000 0.0000000 -0.0001031  0.0000300 0.0000000 0.0000000 -0.0000792  0.0006940 0.0000000 0.0000000  0.0001244 -0.0000004
40 0 0.0000000       NaN  0.0260791        NaN 0.0000000       NaN -0.0249394        NaN 0.0000000       NaN -0.0003312        NaN 0.0000000       NaN  0.0042726        NaN 0.0000000       NaN  0.0030003        NaN 0.0000000       NaN  0.0026844        NaN 0.0000000       NaN -0.0011155        NaN 0.0000000       NaN -0.0006589        NaN 0.0000000       NaN  0.0003547        NaN 0.0000000       NaN  0.0003573        NaN 0.0000000       NaN -0.0000818        NaN 0.0000000       NaN  0.0003468        NaN 0.0000000       NaN -0.0007211        NaN 0.0000000       NaN -0.0153583        NaN 0.0000000       NaN  0.0018874        NaN 0.0000000       NaN -0.0002722        NaN 0.0000000       NaN  0.0000326        NaN 0.0000000       NaN  0.0003649        NaN 0.0000000       NaN -0.0001709        NaN
40 1 0.0000000 0.0000000  0.0603437 -0.0806725 0.0000000 0.0000000  0.0035937 -0.0088324 0.0000000 0.0000000 -0.0113957  0.0069978 0.0000000 0.0000000 -0.0063478 -0.0119676 0.0000000 0.0000000  0.0031596  0.0051312 0.0000000 0.0000000 -0.0003204  0.0061351 0.0000000 0.0000000 -0.0006420 -0.0008050 0.0000000 0.0000000 -0.0022133 -0.0003611 0.0000000 0.0000000  0.0014726  0.0010643 0.0000000 0.0000000  0.0000674  0.0001099 0.0000000 0.0000000  0.0015213 -0.0000376 0.0000000 0.0000000 -0.0000441 -0.0002893 0.0000000 0.0000000  0.0048096 -0.0038480 0.0000000 0.0000000 -0.0032501  0.0003858 0.0000000 0.0000000 -0.0086491 -0.0065194 0.0000000 0.0000000 -0.0001640  0.0000664 0.0000000 0.0000000  0.0006418 -0.0000633 0.0000000 0.0000000 -0.0000794 -0.0001911 0.0000000 0.0000000  0.0005795  0.0004654
40 2 0.0000000 0.0000000  0.0018836 -0.0056267 0.0000000 0.0000000  0.0061659 -0.0169472 0.0000000 0.0000000  0.0008813 -0.0007978 0.0000000 0.0000000 -0.0030621  0.0030959 0.0000000 0.0000000  0.0107043  0.0010677 0.0000000 0.0000000 -0.0060621  0.0005856 0.0000000 0.0000000 -0.0006398 -0.0049419 0.0000000 0.0000000  0.0003893 -0.0001657 0.0000000 0.0000000  0.0005579  0.0011997 0.0000000 0.0000000 -0.0004178  0.0009122 0.0000000 0.0000000 -0.0001902  0.0001105 0.0000000 0.0000000 -0.0003629  0.0000668 0.0000000 0.0000000  0.0000311 -0.0013767 0.0000000 0.0000000  0.0101884  0.0039343 0.0000000 0.0000000 -0.0003362  0.0010524 0.0000000 0.0000000  0.0005178  0.0006123 0.0000000 0.0000000  0.0000617 -0.0000394 0.0000000 0.0000000 -0.0005553 -0.0001586 0.0000000 0.0000000  0.0000836  0.0000634
